Team,Tag,Topic,f1_macro
Olivier Armstrong,tfid_arg_similarity,68,0.0
Olivier Armstrong,tfid_arg_similarity,67,0.111
Olivier Armstrong,tfid_arg_similarity,62,0.288
Olivier Armstrong,tfid_arg_similarity,61,0.118
Olivier Armstrong,tfid_arg_similarity,60,0.31
Olivier Armstrong,tfid_arg_similarity,59,0.238
Olivier Armstrong,tfid_arg_similarity,58,0.25
Olivier Armstrong,tfid_arg_similarity,56,0.038
Olivier Armstrong,tfid_arg_similarity,55,0.222
Olivier Armstrong,tfid_arg_similarity,54,0.103
Olivier Armstrong,tfid_arg_similarity,53,0.267
Olivier Armstrong,tfid_arg_similarity,51,0.247
Olivier Armstrong,tfid_arg_similarity,48,0.321
Olivier Armstrong,tfid_arg_similarity,43,0.167
Olivier Armstrong,tfid_arg_similarity,42,0.267
Olivier Armstrong,tfid_arg_similarity,37,0.136
Olivier Armstrong,tfid_arg_similarity,36,0.0
Olivier Armstrong,tfid_arg_similarity,34,0.139
Olivier Armstrong,tfid_arg_similarity,33,0.147
Olivier Armstrong,tfid_arg_similarity,30,0.19
Olivier Armstrong,tfid_arg_similarity,28,0.208
Olivier Armstrong,tfid_arg_similarity,27,0.083
Olivier Armstrong,tfid_arg_similarity,26,0.208
Olivier Armstrong,tfid_arg_similarity,25,0.25
Olivier Armstrong,tfid_arg_similarity,23,0.0
Olivier Armstrong,tfid_arg_similarity,22,0.056
Olivier Armstrong,tfid_arg_similarity,19,0.271
Olivier Armstrong,tfid_arg_similarity,18,0.139
Olivier Armstrong,tfid_arg_similarity,17,0.0
Olivier Armstrong,tfid_arg_similarity,14,0.125
Olivier Armstrong,tfid_arg_similarity,12,0.222
Olivier Armstrong,tfid_arg_similarity,9,0.083
Olivier Armstrong,tfid_arg_similarity,8,0.125
Olivier Armstrong,tfid_arg_similarity,3,0.103
Olivier Armstrong,tfid_arg_similarity,2,0.062
Captain Levi,levirank_psuedo_relevance_feedback,100,0.205
Captain Levi,levirank_psuedo_relevance_feedback,95,0.068
Captain Levi,levirank_psuedo_relevance_feedback,93,0.275
Captain Levi,levirank_psuedo_relevance_feedback,92,0.197
Captain Levi,levirank_psuedo_relevance_feedback,91,0.091
Captain Levi,levirank_psuedo_relevance_feedback,88,0.28
Captain Levi,levirank_psuedo_relevance_feedback,86,0.331
Captain Levi,levirank_psuedo_relevance_feedback,84,0.138
Captain Levi,levirank_psuedo_relevance_feedback,78,0.244
Captain Levi,levirank_psuedo_relevance_feedback,77,0.328
Captain Levi,levirank_psuedo_relevance_feedback,76,0.147
Captain Levi,levirank_psuedo_relevance_feedback,74,0.18
Captain Levi,levirank_psuedo_relevance_feedback,72,0.203
Captain Levi,levirank_psuedo_relevance_feedback,70,0.219
Captain Levi,levirank_psuedo_relevance_feedback,69,0.277
Captain Levi,levirank_psuedo_relevance_feedback,68,0.245
Captain Levi,levirank_psuedo_relevance_feedback,67,0.288
Captain Levi,levirank_psuedo_relevance_feedback,62,0.154
Captain Levi,levirank_psuedo_relevance_feedback,61,0.122
Captain Levi,levirank_psuedo_relevance_feedback,60,0.127
Captain Levi,levirank_psuedo_relevance_feedback,59,0.033
Captain Levi,levirank_psuedo_relevance_feedback,58,0.149
Captain Levi,levirank_psuedo_relevance_feedback,56,0.07
Captain Levi,levirank_psuedo_relevance_feedback,55,0.325
Captain Levi,levirank_psuedo_relevance_feedback,54,0.25
Captain Levi,levirank_psuedo_relevance_feedback,53,0.296
Captain Levi,levirank_psuedo_relevance_feedback,51,0.243
Captain Levi,levirank_psuedo_relevance_feedback,48,0.068
Captain Levi,levirank_psuedo_relevance_feedback,43,0.067
Captain Levi,levirank_psuedo_relevance_feedback,42,0.269
Captain Levi,levirank_psuedo_relevance_feedback,37,0.235
Captain Levi,levirank_psuedo_relevance_feedback,36,0.258
Captain Levi,levirank_psuedo_relevance_feedback,34,0.333
Captain Levi,levirank_psuedo_relevance_feedback,33,0.354
Captain Levi,levirank_psuedo_relevance_feedback,30,0.093
Captain Levi,levirank_psuedo_relevance_feedback,28,0.304
Captain Levi,levirank_psuedo_relevance_feedback,27,0.188
Captain Levi,levirank_psuedo_relevance_feedback,26,0.087
Captain Levi,levirank_psuedo_relevance_feedback,25,0.308
Captain Levi,levirank_psuedo_relevance_feedback,23,0.207
Captain Levi,levirank_psuedo_relevance_feedback,22,0.238
Captain Levi,levirank_psuedo_relevance_feedback,19,0.282
Captain Levi,levirank_psuedo_relevance_feedback,18,0.176
Captain Levi,levirank_psuedo_relevance_feedback,17,0.091
Captain Levi,levirank_psuedo_relevance_feedback,14,0.255
Captain Levi,levirank_psuedo_relevance_feedback,12,0.263
Captain Levi,levirank_psuedo_relevance_feedback,9,0.249
Captain Levi,levirank_psuedo_relevance_feedback,8,0.368
Captain Levi,levirank_psuedo_relevance_feedback,3,0.234
Captain Levi,levirank_psuedo_relevance_feedback,2,0.348
Captain Levi,levirank_voting_retrieval,100,0.145
Captain Levi,levirank_voting_retrieval,95,0.068
Captain Levi,levirank_voting_retrieval,93,0.263
Captain Levi,levirank_voting_retrieval,92,0.208
Captain Levi,levirank_voting_retrieval,91,0.091
Captain Levi,levirank_voting_retrieval,88,0.251
Captain Levi,levirank_voting_retrieval,86,0.326
Captain Levi,levirank_voting_retrieval,84,0.16
Captain Levi,levirank_voting_retrieval,78,0.265
Captain Levi,levirank_voting_retrieval,77,0.321
Captain Levi,levirank_voting_retrieval,76,0.167
Captain Levi,levirank_voting_retrieval,74,0.144
Captain Levi,levirank_voting_retrieval,72,0.182
Captain Levi,levirank_voting_retrieval,70,0.212
Captain Levi,levirank_voting_retrieval,69,0.298
Captain Levi,levirank_voting_retrieval,68,0.224
Captain Levi,levirank_voting_retrieval,67,0.286
Captain Levi,levirank_voting_retrieval,62,0.182
Captain Levi,levirank_voting_retrieval,61,0.094
Captain Levi,levirank_voting_retrieval,60,0.055
Captain Levi,levirank_voting_retrieval,59,0.036
Captain Levi,levirank_voting_retrieval,58,0.095
Captain Levi,levirank_voting_retrieval,56,0.09
Captain Levi,levirank_voting_retrieval,55,0.3
Captain Levi,levirank_voting_retrieval,54,0.236
Captain Levi,levirank_voting_retrieval,53,0.282
Captain Levi,levirank_voting_retrieval,51,0.317
Captain Levi,levirank_voting_retrieval,48,0.069
Captain Levi,levirank_voting_retrieval,43,0.065
Captain Levi,levirank_voting_retrieval,42,0.278
Captain Levi,levirank_voting_retrieval,37,0.195
Captain Levi,levirank_voting_retrieval,36,0.256
